make_model,power_kW,age,empty_weight,mileage,gearbox,gears,drivetrain,cons_avg,co_emissions,price
Opel Corsa,85.0,7.0,1163.0,87550.0,Manual,6.0,Front,4.9,112.0,8990.0
Opel Astra,100.0,4.0,1350.0,113000.0,Manual,6.0,Front,3.9,88.0,14900.0
Opel Corsa,66.0,3.0,1234.0,20400.0,Manual,5.0,Front,5.5,126.0,10459.0
Opel Corsa,152.0,6.0,1293.0,51950.0,Manual,6.0,Front,7.5,178.0,17690.0
Opel Adam,110.0,7.0,1178.0,72200.0,Manual,6.0,Front,5.9,0.0,9990.0
Opel Adam,64.0,9.0,1120.0,102252.0,Manual,5.0,Front,5.3,126.0,7890.0
Opel Corsa,152.0,5.0,1293.0,60500.0,Manual,6.0,Front,7.5,178.0,14889.0
Opel Corsa,66.0,5.0,1163.0,61508.0,Manual,5.0,Front,5.1,106.5,9990.0
Opel Adam,74.0,4.0,1135.0,34500.0,Manual,5.0,Front,5.2,128.0,11849.0
Opel Corsa,66.0,7.0,1055.0,129900.0,Manual,5.0,Front,5.2,123.0,7500.0
Opel Adam,110.0,6.0,1135.0,27000.0,Manual,5.0,Front,5.9,139.0,14990.0
Opel Corsa,74.0,2.0,1055.0,8900.0,Manual,5.0,Front,4.2,96.0,16450.0
Opel Adam,110.0,3.0,1135.0,35980.0,Manual,6.0,Front,0.0,0.0,16380.0
Opel Astra,118.0,4.0,1760.0,92000.0,Manual,6.0,Front,4.1,88.0,14490.0
Opel Corsa,55.0,15.0,1265.0,252230.0,Manual,5.0,Front,4.6,94.0,2900.0
Opel Adam,85.0,5.0,1156.0,63296.0,Manual,6.0,Front,4.9,116.0,11450.0
Opel Corsa,66.0,4.0,1055.0,70000.0,Manual,5.0,Front,0.0,0.0,11890.0
Opel Corsa,66.0,3.0,1055.0,66848.0,Manual,5.0,Front,5.1,106.5,9600.0
Opel Adam,110.0,5.0,1135.0,54163.0,Manual,5.0,Front,5.9,139.0,14990.0
Opel Corsa,110.0,4.0,1199.0,29904.0,Manual,6.0,Front,5.9,136.0,15790.0
Opel Corsa,74.0,3.0,1055.0,21358.0,Manual,5.0,Front,4.2,96.0,15250.0
Opel Adam,85.0,4.0,1135.0,73000.0,Manual,5.0,Front,4.9,116.0,10980.0
Opel Adam,85.0,3.0,1135.0,62500.0,Manual,6.0,Front,0.0,0.0,13980.0
Opel Adam,74.0,3.0,1135.0,40594.0,Manual,5.0,Front,0.0,0.0,12580.0
Opel Corsa,74.0,4.0,1214.0,40200.0,Manual,6.0,Front,5.5,122.0,11980.0
Opel Corsa,63.0,7.0,1020.0,84619.0,Manual,5.0,Front,5.0,129.0,7690.0
Opel Corsa,66.0,3.0,1156.0,83054.0,Manual,5.0,Front,5.6,126.0,8479.0
Opel Adam,110.0,5.0,1135.0,50450.0,Manual,6.0,Front,5.2,118.0,16900.0
Opel Corsa,110.0,3.0,1055.0,49551.0,Manual,5.0,Front,6.1,0.0,15900.0
Opel Corsa,55.0,3.0,1055.0,19000.0,Manual,5.0,Front,0.0,106.5,14900.0
Opel Astra,85.0,14.0,1240.0,88000.0,Automatic,5.0,Front,6.6,138.5,8990.0
Opel Corsa,110.0,4.0,1055.0,47200.0,Manual,6.0,Front,6.1,136.0,13490.0
Opel Astra,73.0,15.0,1380.0,178520.0,Manual,5.0,Front,5.0,88.0,3900.0
Opel Astra,81.0,7.0,1350.0,135000.0,Manual,6.0,Front,3.7,88.0,9995.0
Opel Corsa,74.0,3.0,1214.0,17700.0,Manual,6.0,Front,5.5,125.0,12490.0
Opel Corsa,55.0,3.0,1055.0,20000.0,Manual,5.0,Front,0.0,106.5,15900.0
Opel Corsa,110.0,7.0,1055.0,43001.0,Manual,5.0,Front,5.9,140.0,13450.0
Opel Astra,74.0,9.0,1273.0,74849.0,Manual,5.0,Front,5.5,129.0,8690.0
Opel Adam,74.0,3.0,1135.0,60565.0,Manual,5.0,Front,0.0,0.0,11990.0
Opel Adam,110.0,6.0,1178.0,40869.0,Manual,6.0,Front,5.9,139.0,13980.0
Opel Adam,64.0,4.0,1135.0,26200.0,Manual,5.0,Front,5.7,131.0,12350.0
Opel Corsa,51.0,8.0,1120.0,103000.0,Manual,5.0,Front,5.5,130.0,5850.0
Opel Adam,85.0,5.0,1156.0,67420.0,Manual,6.0,Front,4.9,116.0,12390.0
Opel Corsa,75.0,1.0,1165.0,18700.0,Manual,6.0,Front,3.2,94.0,15990.0
Opel Corsa,74.0,1.0,1165.0,480.0,Manual,6.0,Front,4.3,98.0,18479.0
Opel Corsa,74.0,12.0,1163.0,61200.0,Manual,5.0,Front,5.5,129.0,9888.0
Opel Adam,110.0,3.0,1178.0,22532.0,Manual,6.0,Front,6.4,144.0,17890.0
Opel Astra,92.0,5.0,1278.0,40000.0,Manual,6.0,Front,5.1,138.5,14900.0
Opel Corsa,110.0,3.0,1055.0,34800.0,Manual,6.0,Front,0.0,0.0,16490.0
Opel Astra,81.0,5.0,1350.0,52291.0,Manual,6.0,Front,3.7,88.0,13500.0
Opel Corsa,66.0,5.0,1163.0,40000.0,Automatic,6.0,Front,5.9,135.0,11450.0
Opel Corsa,66.0,5.0,1163.0,61508.0,Manual,5.0,Front,5.1,106.5,9990.0
Opel Adam,74.0,8.0,1135.0,119494.0,Manual,5.0,Front,5.5,129.0,7790.0
Opel Astra,96.0,1.0,1205.0,9000.0,Manual,6.0,Front,0.0,138.5,17000.0
Opel Adam,64.0,4.0,1120.0,12633.0,Manual,5.0,Front,5.1,118.0,12208.0
Opel Corsa,66.0,5.0,1141.0,63680.0,Manual,5.0,Front,5.1,118.0,10840.0
Opel Adam,110.0,5.0,1163.0,34661.0,Manual,6.0,Front,5.9,138.0,14845.0
Opel Corsa,74.0,1.0,1055.0,39703.0,Automatic,1.0,Front,4.2,96.0,16900.0
Opel Corsa,55.0,0.0,1055.0,2.0,Manual,5.0,Front,0.0,106.5,15999.0
Opel Corsa,74.0,5.0,1055.0,20123.0,Manual,5.0,Front,5.1,119.0,12900.0
Opel Corsa,110.0,3.0,1055.0,36370.0,Manual,5.0,Front,6.1,0.0,15900.0
Opel Corsa,110.0,3.0,1317.0,17559.0,Manual,6.0,Front,6.1,139.0,16990.0
Opel Corsa,74.0,1.0,1055.0,45400.0,Automatic,1.0,Front,4.2,96.0,18490.0
Opel Corsa,110.0,3.0,1214.0,28921.0,Manual,6.0,Front,6.1,0.0,17990.0
Opel Corsa,66.0,5.0,1099.0,58294.0,Manual,6.0,Front,4.6,107.0,10200.0
Opel Corsa,75.0,2.0,1055.0,13150.0,Manual,5.0,Front,3.6,94.0,17450.0
Opel Corsa,74.0,0.0,1165.0,4999.0,Automatic,8.0,Front,4.2,96.0,22490.0
Opel Adam,74.0,6.0,1120.0,87700.0,Manual,5.0,Front,5.5,130.0,9500.0
Opel Corsa,110.0,4.0,1055.0,36508.0,Manual,5.0,Front,6.3,150.0,14900.0
Opel Adam,110.0,4.0,1135.0,49434.0,Manual,5.0,Front,6.4,144.0,14350.0
Opel Corsa,110.0,6.0,1055.0,73284.0,Manual,5.0,Front,5.8,0.0,13900.0
Opel Corsa,64.0,8.0,1163.0,28452.0,Manual,5.0,Front,5.7,135.0,8500.0
Opel Corsa,51.0,8.0,1055.0,24350.0,Manual,5.0,Front,5.5,130.0,8700.0
Opel Adam,110.0,6.0,1135.0,63078.0,Manual,5.0,Front,5.9,140.0,12890.0
Opel Adam,74.0,3.0,1135.0,26100.0,Manual,5.0,Front,0.0,0.0,13480.0
Opel Corsa,110.0,4.0,1214.0,36040.0,Manual,6.0,Front,6.1,136.0,15380.0
Opel Adam,51.0,4.0,1086.0,9524.0,Manual,5.0,Front,5.3,126.0,12190.0
Opel Corsa,100.0,1.0,1055.0,3191.0,Automatic,1.0,Front,5.1,106.5,34990.0
Opel Corsa,74.0,8.0,1055.0,97000.0,Manual,5.0,Front,5.1,134.0,8549.0
Opel Corsa,74.0,3.0,1237.0,37500.0,Manual,6.0,Front,5.4,125.0,11990.0
Opel Corsa,66.0,3.0,1156.0,127047.0,Manual,5.0,Front,5.5,126.0,8790.0
Opel Corsa,70.0,8.0,1055.0,49910.0,Manual,5.0,Front,3.3,87.0,8990.0
Opel Astra,81.0,2.0,1205.0,39000.0,Manual,6.0,Front,4.3,138.5,14900.0
Opel Adam,74.0,3.0,1135.0,20337.0,Manual,5.0,Front,0.0,0.0,13990.0
Opel Corsa,74.0,1.0,1055.0,22800.0,Automatic,8.0,Front,4.2,96.0,19950.0
Opel Adam,64.0,8.0,1120.0,80000.0,Manual,5.0,Front,5.1,118.0,9900.0
Opel Corsa,66.0,3.0,1156.0,31647.0,Manual,5.0,Front,5.5,128.0,12350.0
Opel Astra,77.0,4.0,1163.0,54372.0,Manual,5.0,Front,4.4,104.0,14100.0
Opel Corsa,66.0,3.0,1156.0,23000.0,Manual,5.0,Front,5.6,128.0,11980.0
Opel Corsa,74.0,1.0,1055.0,8500.0,Manual,5.0,Front,5.1,106.5,19890.0
Opel Corsa,74.0,1.0,1165.0,10320.0,Manual,6.0,Front,4.3,98.0,15980.0
Opel Adam,74.0,3.0,1135.0,12522.0,Manual,5.0,Front,0.0,0.0,14490.0
Opel Corsa,74.0,1.0,1165.0,50.0,Manual,6.0,Front,4.5,101.0,16695.0
Opel Corsa,55.0,2.0,1055.0,17836.0,Manual,5.0,Front,4.1,93.0,13950.0
Opel Corsa,85.0,7.0,1055.0,67066.0,Manual,5.0,Front,4.8,0.0,13900.0
Opel Corsa,55.0,2.0,1055.0,23818.0,Manual,5.0,Front,4.1,93.0,13790.0
Opel Adam,64.0,4.0,1135.0,39181.0,Automatic,5.0,Front,5.7,0.0,14900.0
Opel Corsa,66.0,3.0,1055.0,66848.0,Manual,5.0,Front,5.1,106.5,9600.0
Opel Corsa,66.0,3.0,1055.0,66848.0,Manual,5.0,Front,5.1,106.5,9600.0
Opel Corsa,66.0,4.0,1055.0,27450.0,Manual,5.0,Front,5.1,118.0,12300.0
Opel Corsa,51.0,4.0,1135.0,82365.0,Manual,5.0,Front,5.6,129.0,9865.0
Opel Astra,100.0,4.0,1437.0,68478.0,Manual,6.0,Front,4.1,88.0,16300.0
Opel Corsa,66.0,4.0,1055.0,13011.0,Manual,6.0,Front,5.1,0.0,11970.0
Opel Corsa,74.0,3.0,1290.0,29074.0,Manual,6.0,Front,5.4,125.0,13790.0
Opel Corsa,55.0,0.0,1055.0,6001.0,Manual,5.0,Front,5.1,106.5,18950.0
Opel Adam,64.0,3.0,1135.0,15379.0,Manual,5.0,Front,5.8,133.0,14490.0
Opel Corsa,110.0,4.0,1055.0,28735.0,Manual,5.0,Front,6.1,136.0,14900.0
Opel Corsa,96.0,1.0,1233.0,15759.0,Automatic,8.0,Front,4.5,103.0,19989.0
Opel Adam,110.0,3.0,1135.0,32214.0,Manual,6.0,Front,0.0,0.0,16990.0
Opel Corsa,100.0,0.0,1055.0,1070.0,Automatic,1.0,Front,5.1,106.5,26500.0
Opel Corsa,55.0,2.0,1055.0,21044.0,Manual,5.0,Front,4.1,93.0,13950.0
Opel Corsa,66.0,3.0,1156.0,14284.0,Manual,5.0,Front,5.6,130.0,12950.0
Opel Corsa,74.0,1.0,1055.0,35010.0,Manual,5.0,Front,4.3,99.0,14240.0
Opel Corsa,66.0,3.0,1234.0,15318.0,Manual,5.0,Front,5.6,128.0,11589.0
Opel Corsa,74.0,10.0,1120.0,110988.0,Manual,5.0,Front,5.3,124.0,7850.0
Opel Corsa,96.0,2.0,1055.0,13141.0,Automatic,8.0,Front,4.5,103.0,21980.0
Opel Corsa,66.0,7.0,1141.0,38745.0,Automatic,5.0,Front,4.7,110.0,11890.0
Opel Adam,64.0,6.0,1135.0,88211.0,Automatic,5.0,Front,5.0,118.0,13990.0
Opel Adam,74.0,4.0,1135.0,17130.0,Manual,5.0,Front,0.0,0.0,13990.0
Opel Adam,66.0,7.0,1156.0,60380.0,Manual,6.0,Front,4.2,100.0,9990.0
Opel Adam,64.0,8.0,1120.0,99000.0,Manual,5.0,Front,5.2,118.0,7990.0
Opel Adam,64.0,7.0,1135.0,47998.0,Manual,5.0,Front,5.3,125.0,10990.0
Opel Corsa,55.0,1.0,995.0,18894.0,Manual,5.0,Front,5.2,118.0,14600.0
Opel Corsa,74.0,0.0,1055.0,2874.0,Automatic,8.0,Front,4.2,96.0,24680.0
Opel Corsa,74.0,1.0,1165.0,34450.0,Manual,6.0,Front,4.3,98.0,16980.0
Opel Adam,74.0,3.0,1135.0,47398.0,Manual,5.0,Front,0.0,0.0,13490.0
Opel Corsa,66.0,3.0,1248.0,31206.0,Automatic,6.0,Front,0.0,0.0,14490.0
